sample-id	label	dna_num	dnd_date	dna_conc_ul	dna_con_ml	dna_ex_date	dnd_day	dna_month	dna_year	dna_time	chloro_fill	chloro_ex	fo	fa	chloro_ug	pico	nano	cyan
201	CML	1	1-2-2025	0.71	10.6	12-11-2025	2	1	2025	12:32	5	100	239.5	162	4.722602	1.80E+02	1.14E+02	6.62E+01
123	CML	2	1-2-2025	0.453	6.8	10-24-2025	2	1	2025	12:32	5	100	242.1	153.5	5.39900048	1.14E+02	5.68E+01	3.78E+01
215	CML	3	1-2-2025	0.82	12.3	12-11-2025	2	1	2025	12:32	5	100	241.5	159.3	5.00900496	2.27E+02	1.89E+02	1.04E+02
227	CML	1	1-10-2025	0.437	6.55	12-12-2025	10	1	2025	7:31	5	100	195.1	129	4.02792248	3.03E+02	1.70E+02	1.04E+02
93	CML	2	1-10-2025	1	15	10-1-2025	10	1	2025	7:31	5	100	213.2	140.5	4.43010536	4.92E+02	1.61E+02	5.67E+01
187	CML	3	1-10-2025	2.41	36.2	12-10-2025	10	1	2025	7:31	5	100	208.5	144.7	3.88776784	2.93E+02	7.57E+01	9.46E+01
176	CML	1	1-16-2025	OOR	OOR	11-19-2025	16	1	2025	12:43	5	100	179.4	115.2	3.91214256	2.70E+03	1.81E+02	4.77E+03
94	CML	2	1-16-2025	0.45	6.8	10-1-2025	16	1	2025	12:43	5	100	179.1	110	4.21073288	3.08E+03	1.90E+02	5.23E+03
124	CML	3	1-16-2025	0.65	9.76	10-24-2025	16	1	2025	12:43	5	100	172.8	107.9	3.95479832	5.50E+03	2.18E+02	1.16E+04
243	CML	1	1-24-2025	0.211	3.16	12-12-2025	24	1	2025	6:43	5	100	202.6	137.4	3.97307936	1.14E+03	2.01E+02	1.35E+03
228	CML	2	1-24-2025	0.0927	1.39	12-12-2025	24	1	2025	6:43	5	100	201.5	133.3	4.15588976	1.01E+03	1.62E+02	1.27E+03
216	CML	3	1-24-2025	0.606	9.09	12-11-2025	24	1	2025	6:43	5	100	193.3	131	3.79636264	1.16E+03	2.58E+02	1.15E+03
242	CML	1	1-30-2025	0.484	7.26	12-12-2025	30	1	2025	11:29	5	100	200.6	134.2	4.04620352	6.84E+02	1.14E+02	4.65E+02
194	CML	2	1-30-2025	1.28	19.2	12-10-2025	30	1	2025	11:29	5	100	197.4	132.9	3.9304236	1.81E+03	2.28E+02	7.88E+02
178	CML	3	1-30-2025	1.19	17.8	11-19-2025	30	1	2025	11:29	5	100	214	135.7	4.77135144	1.07E+03	1.80E+02	1.20E+03
255	CML	1	2-5-2025	0.638	9.57	12-15-2025	5	2	2025	16:42	5	100	252.3	168.7	5.09431648	8.30E+03	4.10E+02	2.69E+03
244	CML	2	2-5-2025	0.341	5.22	12-12-2025	5	2	2025	16:42	5	100	272.9	160.7	6.83710896	6.43E+03	4.00E+02	1.42E+03
202	CML	3	2-5-2025	0.873	13.1	12-11-2025	5	2	2025	16:42	5	100	241.9	161.8	4.88103768	7.40E+03	4.67E+02	2.48E+03
188	CML	1	2-12-2025	0.357	5.35	12-10-2025	12	2	2025	11:01	5	100	192.8	131.1	3.75980056	2.48E+03	1.24E+02	4.48E+02
229	CML	2	2-12-2025	0.27	4.05	12-12-2025	12	2	2025	11:01	5	100	213.2	124.6	5.39900048	2.55E+03	1.24E+02	5.53E+02
149	CML	3	2-12-2025	1.29	19.4	11-5-2025	12	2	2025	11:01	5	100	202	136.9	3.96698568	3.16E+03	1.53E+02	8.87E+02
245	CML	1	2-19-2025	0.43	6.38	12-12-2025	19	2	2025	15:48	5	100	147.5	99.57	2.920700824	5.25E+03	3.70E+02	8.62E+02
203	CML	2	2-19-2025	0.549	8.23	12-11-2025	19	2	2025	15:48	5	100	152.3	102.9	3.01027792	5.22E+03	3.51E+02	9.29E+02
